DateKey;mouth;year;day
20000730;7;2000;30
20000808;8;2000;8
20151024;10;2015;24
20110527;5;2011;27
20010410;4;2001;10
19991214;12;1999;14
20000726;7;2000;26
20000725;7;2000;25
20010409;4;2001;9
19991213;12;1999;13
19991219;12;1999;19
20000728;7;2000;28
20011205;12;2001;5
19961108;11;1996;8
19961017;10;1996;17
20050125;1;2005;25
20050126;1;2005;26
20050131;1;2005;31
20050415;4;2005;15
20061025;10;2006;25
20050315;3;2005;15
20050302;3;2005;2
20060911;9;2006;11
20070305;3;2007;5
20050204;2;2005;4
20050217;2;2005;17
20050606;6;2005;6
20050314;3;2005;14
20050726;7;2005;26
20050307;3;2005;7
20050323;3;2005;23
20050413;4;2005;13
20050802;8;2005;2
20051005;10;2005;5
20050520;5;2005;20
20050711;7;2005;11
20050831;8;2005;31
20061030;10;2006;30
20060606;6;2006;6
20060412;4;2006;12
20060901;9;2006;1
20060926;9;2006;26
20070125;1;2007;25
20070319;3;2007;19
20061211;12;2006;11
20070410;4;2007;10
19960808;8;1996;8
20030207;2;2003;7
20160212;2;2016;12
20160213;2;2016;13
20160216;2;2016;16
19980803;8;1998;3
19980723;7;1998;23
19980830;8;1998;30
20090711;7;2009;11
20010422;4;2001;22
20010416;4;2001;16
19960622;6;1996;22
20171113;11;2017;13
20110306;3;2011;6
20130826;8;2013;26
20110518;5;2011;18
20110605;6;2011;5
20120119;1;2012;19
20111130;11;2011;30
20160211;2;2016;11
20160408;4;2016;8
20160422;4;2016;22
20160209;2;2016;9
20160217;2;2016;17
20160321;3;2016;21
20160301;3;2016;1
20160215;2;2016;15
20160501;5;2016;1
20160406;4;2016;6
20161025;10;2016;25
20160229;2;2016;29
20170908;9;2017;8
20160401;4;2016;1
20160302;3;2016;2
20160410;4;2016;10
20180201;2;2018;1
20160210;2;2016;10
20160908;9;2016;8
20170816;8;2017;16
20180203;2;2018;3
20170122;1;2017;22
20160218;2;2016;18
20170817;8;2017;17
20160310;3;2016;10
20160225;2;2016;25
20161019;10;2016;19
20160330;3;2016;30
20161018;10;2016;18
20160609;6;2016;9
20160228;2;2016;28
20160322;3;2016;22
20171209;12;2017;9
20160604;6;2016;4
20160603;6;2016;3
20160927;9;2016;27
20160227;2;2016;27
20161013;10;2016;13
20160307;3;2016;7
20170906;9;2017;6
20170211;2;2017;11
20160303;3;2016;3
20180115;1;2018;15
20170722;7;2017;22
20180811;8;2018;11
20170212;2;2017;12
20171125;11;2017;25
20170421;4;2017;21
20160626;6;2016;26
20170124;1;2017;24
20180512;5;2018;12
20160801;8;2016;1
20170129;1;2017;29
20160308;3;2016;8
20180318;3;2018;18
20180317;3;2018;17
20160731;7;2016;31
20161221;12;2016;21
20170720;7;2017;20
20160930;9;2016;30
20170202;2;2017;2
20161108;11;2016;8
20161105;11;2016;5
20160519;5;2016;19
20160520;5;2016;20
20160405;4;2016;5
20160802;8;2016;2
20160718;7;2016;18
20171118;11;2017;18
20170317;3;2017;17
20180316;3;2018;16
20180109;1;2018;9
20170709;7;2017;9
20160904;9;2016;4
20160606;6;2016;6
20171215;12;2017;15
20160813;8;2016;13
20161026;10;2016;26
20170101;1;2017;1
20160619;6;2016;19
20160413;4;2016;13
20171117;11;2017;17
20160712;7;2016;12
20160729;7;2016;29
20161030;10;2016;30
20161102;11;2016;2
20170209;2;2017;9
20160621;6;2016;21
20170111;1;2017;11
20160309;3;2016;9
20170504;5;2017;4
20171126;11;2017;26
20170425;4;2017;25
20180820;8;2018;20
20170808;8;2017;8
20170917;9;2017;17
20171212;12;2017;12
20180819;8;2018;19
20171119;11;2017;19
20030527;5;2003;27
20030528;5;2003;28
20140809;8;2014;9
20141228;12;2014;28
20140622;6;2014;22
20130818;8;2013;18
20141217;12;2014;17
20141130;11;2014;30
20150715;7;2015;15
20141208;12;2014;8
20160106;1;2016;6
20140624;6;2014;24
20141010;10;2014;10
20150208;2;2015;8
20150411;4;2015;11
20141218;12;2014;18
20160710;7;2016;10
20141219;12;2014;19
20150904;9;2015;4
20150909;9;2015;9
20150328;3;2015;28
20150117;1;2015;17
20141011;10;2014;11
20150816;8;2015;16
20170102;1;2017;2
20100311;3;2010;11
20100316;3;2010;16
20050202;2;2005;2
20050218;2;2005;18
20160325;3;2016;25
20160326;3;2016;26
20180828;8;2018;28
19960710;7;1996;10
20000704;7;2000;4
20000801;8;2000;1
20090214;2;2009;14
20090514;5;2009;14
20090211;2;2009;11
20090302;3;2009;2
20090213;2;2009;13
20090511;5;2009;11
20100620;6;2010;20
20090512;5;2009;12
20090601;6;2009;1
20090427;4;2009;27
20090228;2;2009;28
20090420;4;2009;20
20090306;3;2009;6
20090321;3;2009;21
20090305;3;2009;5
20090217;2;2009;17
20090521;5;2009;21
20110614;6;2011;14
20130228;2;2013;28
20110612;6;2011;12
20110716;7;2011;16
20110613;6;2011;13
20140720;7;2014;20
20110906;9;2011;6
20110728;7;2011;28
20110626;6;2011;26
20110615;6;2011;15
20110702;7;2011;2
20170718;7;2017;18
19961213;12;1996;13
19970102;1;1997;2
19970223;2;1997;23
19991011;10;1999;11
19991012;10;1999;12
19991020;10;1999;20
20061028;10;2006;28
20061119;11;2006;19
20061218;12;2006;18
20070114;1;2007;14
19960501;5;1996;1
20041118;11;2004;18
19961013;10;1996;13
19961021;10;1996;21
19960829;8;1996;29
20001121;11;2000;21
19960514;5;1996;14
20010727;7;2001;27
19961126;11;1996;26
19970718;7;1997;18
19980522;5;1998;22
20000221;2;2000;21
20000529;5;2000;29
20050719;7;2005;19
